ID,Group_1,Group_2,Group_3,Nest_attendance_P1_5_scaled,LG_P1_5_scaled
46F1,0,0,1,-0.2527095,0.602444
77F1,0,0,1,-0.2579265,0.610404
93F1,1,0,0,0.644144375,0.9681325
5F1,1,0,0,-1.3692165,1.2104
33F1,0,0,0,0.113303,0.400842
55F1,0,1,0,-1.500014,0.074092
63F1,0,0,1,-1.0230915,-2.0808
49F1,0,0,0,2.085406875,1.338215
84F1,0,0,0,0.0692715,-0.027052
100F1,0,1,0,0.4153325,0.275874
9F1,0,0,0,-0.59,-1.829332
35F1,0,0,0,-1.094189,-0.7715
58F1,1,0,0,1.364054375,-0.810735
67F1,1,0,0,0.20430125,-0.812545
50F1,0,0,0,-0.272851875,2.4659425
88F1,0,0,1,0.272489,-0.510072
103F1,0,1,0,-0.033597,-0.914148
11F1,0,1,0,0.6548845,2.349032
38F1,0,1,0,-0.8649415,1.036666
52F1,0,0,0,-0.367858,0.26765
61F1,0,0,1,-0.580716,1.283448
68F1,1,0,0,-0.856697,-0.250522
39F1,0,1,0,1.996667,1.244134
91F1,0,0,1,0.880781875,0.6825625
14F1,1,0,0,1.0945695,2.155164
53F1,0,1,0,-0.546126,-1.91603
62F1,0,0,1,-0.770333,0.64242
73F1,1,0,0,0.1709945,0.4722
